group,pairs,median,lo,hi
Tier I-II pair,1,0.09425287356321839,0.09425287356321839,0.09425287356321839
within error family,91,0.05057471264367816,0.0,0.09425287356321839
Tier I-II vs error family,28,0.27586206896551724,0.2689655172413793,0.2896551724137931
