dataset,scope,cases,cells,tied_cells,cases_with_any_tie,cases_with_boundary_straddle,pct_cells_tied,pct_cases_any_tie,pct_cases_boundary_straddle
common bean,dataset,520,152464,2550,269,8,1.6725259733445272,51.73076923076923,1.5384615384615385
maize (5 verified submissions),dataset,115,51450,1893,103,5,3.6793002915451893,89.56521739130434,4.3478260869565215
soybean,dataset,11154,945978,29934,1517,107,3.164344202507881,13.600502062040524,0.959297113143267
spring wheat,dataset,5668,101296,336,133,6,0.3317011530563892,2.3465067043048693,0.1058574453069866
EnBiSys_sub243568,maize submission,23,10290,156,20,0,1.5160349854227406,86.95652173913044,0.0
KernelOfTruth_sub244906,maize submission,23,10290,366,23,0,3.556851311953353,100.0,0.0
KernelOfTruth_sub244944,maize submission,23,10290,54,18,1,0.5247813411078717,78.26086956521739,4.3478260869565215
KernelOfTruth_sub244953,maize submission,23,10290,210,22,2,2.0408163265306123,95.65217391304348,8.695652173913043
NicheSquad_sub244985,maize submission,23,10290,1107,20,2,10.758017492711371,86.95652173913044,8.695652173913043
