team,frac,SG_observed,SG_analytic,n_env
KernelOfTruth_sub244906,0.05,0.030874747590815165,0.293544387422192,23
KernelOfTruth_sub244906,0.1,0.15499156668157812,0.24951387531746907,23
KernelOfTruth_sub244906,0.2,0.11180710920755364,0.1991152140772529,23
KernelOfTruth_sub244944,0.05,-0.15358423565956503,0.20191161872193025,23
KernelOfTruth_sub244944,0.1,-0.06782443309819848,0.17172098483806017,23
KernelOfTruth_sub244944,0.2,0.012301214889270544,0.13699297608425898,23
KernelOfTruth_sub244953,0.05,0.1287294940691546,0.269263309102758,23
KernelOfTruth_sub244953,0.1,0.1189747969679346,0.2288579900379256,23
KernelOfTruth_sub244953,0.2,0.12877944249257037,0.1826099465489115,23
EnBiSys_sub243568,0.05,-0.028800231757425993,0.4501967389043976,23
EnBiSys_sub243568,0.1,0.07338628125877233,0.38286294157160905,23
EnBiSys_sub243568,0.2,0.03796159390356272,0.3054740610238186,23
NicheSquad_sub244985,0.05,-0.06162245538340321,0.2410522825874286,21
NicheSquad_sub244985,0.1,0.033231258948198304,0.20500747646527975,21
NicheSquad_sub244985,0.2,0.05356661842076577,0.163559654808558,21
