,meanRMSE,r,SG1,SG5,SG10,SG20
CLAC (官方第1),2.3418077272191096,0.34660722817017864,0.3538085775919039,0.3737544486898889,0.5092742827431131,0.5542246958343281
ML_APT/MPB,2.4500093819524995,0.3208862474614464,0.18868544301136722,0.3342223600786467,0.33992569569067216,0.40313001556907047
KernelOfTruth-a,2.9294158631512706,0.14222015723075718,-0.06030608156168118,0.07363837633834447,0.2857135843222976,0.20730943198751015
KernelOfTruth-c,3.034550343739212,0.13044101592484286,-0.08969347860687835,0.26138381708523367,0.22873181723536726,0.23902520998431562
EnBiSys,3.061267924975277,0.2181903143767727,0.10357975560100806,-0.06028697744013498,0.12902329692112582,0.07694043641982773
KernelOfTruth-b,3.105017847344876,0.09786348258269462,-0.005378379297993881,-0.2740623225703153,-0.12030953955407941,0.008200111189599369
NicheSquad,3.3010361657627145,0.11681472331650863,-0.22588205189317248,-0.00021959752902887277,0.11267437654706805,0.13145092979859022
