id,Team Name,Submitted At,pearson_r,spearman_r,lineRegressSlope,r2_score,r2_pearson,MAE,realative_MAE,normalized_MAE,RMSE,relative_RMSE,normalized_RMSE,mean_pearson_r,mean_spearman_r,mean_lineRegressSlope,mean_r2_score,mean_r2_pearson,mean_MAE,mean_realative_MAE,mean_normalized_MAE,mean_RMSE,mean_relative_RMSE,mean_normalized_RMSE
244910,MPB_Group,2023-01-15 18:54:07.008179+00:00,0.4937309999999999,0.491499,0.341166,0.200435,0.2437699999999999,2.122006,0.21018,0.118491,2.740754,0.271465,0.153041,0.255008,0.1764,0.08446889,-1.178771,0.085484,2.138831,0.244033,0.188673,2.543666,0.2881329999999999,0.222841
244969,Niche Squad,2023-01-16 03:31:06.397012+00:00,0.093731,-0.014507,0.044929,-0.2619369999999999,0.008785,2.828676,0.280173,0.157951,3.443197,0.34104,0.1922649999999999,0.094547,0.069505,0.02077637,-2.543135,0.017914,2.874711,0.320324,0.24951,3.268481,0.3631989999999999,0.2828539999999999
244302,Purdue,2023-01-11 16:16:32.575948+00:00,0.6311689999999999,0.616452,0.2839229999999999,0.341306,0.398374,1.999248,0.198021,0.111636,2.487626,0.246393,0.138907,0.160587,0.116232,0.02551777,-0.7132739999999999,0.052217,1.99517,0.220446,0.1701999999999999,2.4018,0.2650629999999999,0.204765
244936,SmAL,2023-01-15 23:11:31.868414+00:00,0.585721,0.573003,0.2573759999999999,0.321432,0.343069,1.996478,0.197746,0.111482,2.524875,0.250083,0.140987,0.146038,0.117406,0.02919657,-0.778922,0.027375,2.008298,0.228073,0.172549,2.424722,0.273089,0.207755
244837,TinyAfrica,2023-01-15 06:57:07.629086+00:00,0.1154879999999999,0.2225469999999999,0.4265419999999999,-18.9677,0.013338,8.310768,0.823161,0.4640659999999999,13.696423,1.356597,0.764796,0.053141,0.09586,0.1179066,-57.531827,0.013782,8.477648,0.955532,0.739117,10.465527,1.173,0.922091
244926,UCD_MegaLMM,2023-01-15 21:17:37.838119+00:00,0.615581,0.6025089999999999,0.246348,0.332125,0.37894,1.956499,0.193786,0.109249,2.504903,0.2481039999999999,0.139872,0.338283,0.230641,0.06480868,-0.7507749999999999,0.1283469999999999,1.975586,0.2267069999999999,0.171573,2.387404,0.271451,0.206295
244521,agAdaptAR,2023-01-12 21:50:47.621315+00:00,0.3998189999999999,0.416061,0.124487,0.1368709999999999,0.159855,2.253985,0.223252,0.12586,2.847613,0.2820489999999999,0.159008,0.151461,0.096145,0.02816823,-1.369301,0.030986,2.292258,0.2650879999999999,0.201766,2.684737,0.3071829999999999,0.234957
244300,arulrich,2023-01-11 16:06:28.636566+00:00,0.510005,0.5178559999999999,0.170578,0.2088079999999999,0.2601049999999999,2.166086,0.2145459999999999,0.120952,2.726366,0.27004,0.152238,0.2047559999999999,0.1542699999999999,0.04155232,-1.034349,0.050768,2.177688,0.245501,0.18537,2.575039,0.2885119999999999,0.218895
244980,cropmodel,2023-01-16 04:14:23.054144+00:00,0.273899,0.2551649999999999,0.093627,-0.003168,0.075021,2.462272,0.2438819999999999,0.137491,3.06994,0.30407,0.1714229999999999,0.014606,0.012134,0.007921723,-1.604738,0.008862,2.479202,0.2749719999999999,0.2098849999999999,2.881458,0.318415,0.243813
244934,gartybois,2023-01-15 22:09:49.309281+00:00,0.4257199999999999,0.4302309999999999,0.097873,-0.215169,0.181237,2.832481,0.28055,0.158163,3.378792,0.3346609999999999,0.188669,0.2049479999999999,0.1527419999999999,0.03006497,-2.018297,0.048103,2.789438,0.2859189999999999,0.229165,3.173716,0.3284489999999999,0.262048
242769,igorkf,2023-01-01 17:23:44.577095+00:00,0.589613,0.568621,0.3115009999999999,0.296856,0.347644,1.999299,0.198026,0.111639,2.57019,0.2545709999999999,0.143517,0.2251209999999999,0.1768629999999999,0.06608457,-0.841248,0.059483,1.994751,0.233081,0.17549,2.440773,0.2812549999999999,0.213033
243998,phenomaize,2023-01-10 09:02:39.565671+00:00,0.6166519999999999,0.6252039999999999,0.3007889999999999,0.35087,0.380259,1.968516,0.194977,0.10992,2.4695,0.244598,0.1378949999999999,0.238016,0.192279,0.07455234,-0.656911,0.084937,1.965563,0.218006,0.166946,2.374471,0.2630839999999999,0.201663
241342,supermanwasd,2022-12-21 15:58:19.011562+00:00,0.4085639999999999,0.4179419999999999,0.083808,0.09541,0.1669249999999999,2.33838,0.231611,0.1305729999999999,2.915205,0.288744,0.162782,0.2426079999999999,0.190247,0.04391567,-1.373259,0.067694,2.356396,0.269256,0.20333,2.74647,0.3112039999999999,0.236262
243946,uwaBioinfo,2023-01-10 03:20:37.728301+00:00,0.124665,0.07583,0.070565,-0.386998,0.015541,2.917339,0.288955,0.1629019999999999,3.609783,0.35754,0.201567,0.068006,0.004916,0.01026827,-2.406764,0.00981,2.886208,0.3074779999999999,0.23948,3.276596,0.350283,0.272959
