##### SHEET: All Successful Submissions (xl/worksheets/sheet1.xml)
Successful Submissions	Calculated Globally												Caclulated For Each Environment and Averaged										
id	Team Name	Submitted At	pearson_r	spearman_r	lineRegressSlope	r2_score	r2_pearson	MAE	realative_MAE	normalized_MAE	RMSE	relative_RMSE	normalized_RMSE		mean_pearson_r	mean_spearman_r	mean_lineRegressSlope	mean_r2_score	mean_r2_pearson	mean_MAE	mean_realative_MAE	mean_normalized_MAE	mean_RMSE	mean_relative_RMSE	mean_normalized_RMSE
243555	CLAC	2023-01-06 16:07:53.026913+00:00	0.63136800000000004	0.62445499999999998	0.27972200000000003	0.35687999999999998	0.39862500000000001	1.9268749999999999	0.19085199999999999	0.107595	2.4580419999999998	0.24346300000000001	0.13725499999999999		0.35655100000000001	0.30726500000000001	9.6056600000000006E-2	-0.61875500000000005	0.141296	1.9325950000000001	0.21745	0.164323	2.3288630000000001	0.26049600000000001	0.19758800000000001
244970	igorkf	2023-01-16 03:38:56.236705+00:00	0.60034699999999996	0.54894900000000002	0.31895200000000001	0.35388500000000001	0.36041600000000001	1.941084	0.19225999999999999	0.108388	2.463759	0.244029	0.137574		NaN	NaN	1.9700899999999999E-31	-0.63573000000000002	NaN	1.91648	0.210894	0.16391500000000001	2.3451469999999999	0.257658	0.200042
242120	CLAC	2022-12-26 18:44:01.338538+00:00	0.61472300000000002	0.610904	0.283084	0.351634	0.377884	1.937041	0.191859	0.108163	2.4680460000000002	0.244454	0.13781299999999999		0.26580500000000001	0.257942	8.8025610000000004E-2	-0.64702000000000004	8.1864999999999993E-2	1.94523	0.21942800000000001	0.166079	2.3534099999999998	0.26397599999999999	0.200488
241708	igorkf	2022-12-24 01:46:22.249968+00:00	0.59540400000000004	0.55089399999999999	0.32512400000000002	0.35159499999999999	0.35450599999999999	1.9467950000000001	0.192825	0.108707	2.4681199999999999	0.24446100000000001	0.137818		NaN	NaN	6.7173280000000004E-32	-0.63785400000000003	NaN	1.921611	0.21141799999999999	0.16412299999999999	2.354965	0.25862600000000002	0.20067499999999999
243998	phenomaize	2023-01-10 09:02:39.565671+00:00	0.61665199999999998	0.62520399999999998	0.30078899999999997	0.35087000000000002	0.38025900000000001	1.9685159999999999	0.19497700000000001	0.10992	2.4695	0.24459800000000001	0.13789499999999999		0.23801600000000001	0.19227900000000001	7.4552339999999995E-2	-0.65691100000000002	8.4936999999999999E-2	1.9655629999999999	0.21800600000000001	0.16694600000000001	2.3744710000000002	0.26308399999999998	0.20166300000000001
244926	UCD_MegaLMM	2023-01-15 21:17:37.838119+00:00	0.61558100000000004	0.60250899999999996	0.24634800000000001	0.332125	0.37894	1.956499	0.19378600000000001	0.109249	2.5049030000000001	0.24810399999999999	0.139872		0.338283	0.23064100000000001	6.4808679999999994E-2	-0.75077499999999997	0.12834699999999999	1.9755860000000001	0.22670699999999999	0.171573	2.3874040000000001	0.271451	0.20629500000000001
243055	CGM	2023-01-03 16:45:28.107700+00:00	0.58729200000000004	0.59174199999999999	0.32334600000000002	0.33981299999999998	0.344912	1.9800150000000001	0.19611600000000001	0.11056199999999999	2.490443	0.246672	0.13906399999999999		0.35322900000000002	0.27941100000000002	0.11087909999999999	-0.75289399999999995	0.139263	1.9827680000000001	0.22375700000000001	0.170934	2.3907539999999998	0.26851000000000003	0.20541200000000001
244302	Purdue	2023-01-11 16:16:32.575948+00:00	0.63116899999999998	0.616452	0.28392299999999998	0.341306	0.39837400000000001	1.9992479999999999	0.198021	0.111636	2.4876260000000001	0.246393	0.138907		0.16058700000000001	0.116232	2.5517769999999999E-2	-0.71327399999999996	5.2217E-2	1.9951700000000001	0.220446	0.17019999999999999	2.4018000000000002	0.26506299999999999	0.204765
244935	UCD_MegaLMM	2023-01-15 22:47:55.697864+00:00	0.62819000000000003	0.60595200000000005	0.240588	0.32005400000000001	0.394623	1.959565	0.19409000000000001	0.10942	2.5274369999999999	0.250336	0.14113000000000001		0.337252	0.224465	5.1741549999999997E-2	-0.80684599999999995	0.12674199999999999	1.9844250000000001	0.23345299999999999	0.17511499999999999	2.4039860000000002	0.27857900000000002	0.21021300000000001
242556	CLAC	2022-12-30 04:39:23.073954+00:00	0.58581899999999998	0.58033800000000002	0.32350800000000002	0.34205099999999999	0.34318399999999999	1.983282	0.196439	0.110745	2.486218	0.246254	0.13882800000000001		0.26672800000000002	0.25170700000000001	7.7961359999999993E-2	-0.77084699999999995	8.3950999999999998E-2	1.9925029999999999	0.22598199999999999	0.17283999999999999	2.4104559999999999	0.271706	0.208067
