Env,Year,GermplasmId,Value
Albany_MO_2017,2017,S15-2702,73.5
Albany_MO_2017,2017,S15-7499,63.4
Albany_MO_2017,2017,SA12-1451,76.6
Albany_MO_2017,2017,SA12-1455,65.6
Albany_MO_2017,2017,SA13-1310,60.2
Albany_MO_2017,2017,SA13-1363,56.6
Albany_MO_2017,2017,SA13-1385,64.2
Albany_MO_2017,2017,SA13-1464,62.7
Albany_MO_2017,2017,SA13-2047,60.7
Albany_MO_2017,2017,SA13-2489,60.8
Albany_MO_2017,2017,SA13-2494,78.6
Albany_MO_2017,2017,SA13-2699,62.2
Albany_MO_2017,2017,SA13-3135,55.0
Albany_MO_2017,2017,SA13-4268RR,72.2
Albany_MO_2017,2017,SA13-4420RR,71.7
Albany_MO_2017,2017,SA13-4434RR,66.5
Albany_MO_2017,2017,SA14-5754,60.3
Albany_MO_2017,2017,SA14-5854,65.0
Albany_MO_2017,2017,SA14-5893,80.5
Albany_MO_2017,2017,SA14-9653,81.3
Albany_MO_2017,2017,SA14-9742,70.2
Albany_MO_2017,2017,U11-920017,69.5
Albany_MO_2017,2017,U12-428210,65.8
Albany_MO_2017,2017,U13-231286,63.8
Albany_MO_2017,2017,U13-931068,58.1
Albany_MO_2017,2017,U14-210241,77.6
Albany_MO_2017,2017,U14-211209,81.1
Albany_MO_2017,2017,U14-211226,77.9
Albany_MO_2017,2017,U14-212231,80.4
Albany_MO_2017,2017,U14-218219,79.5
Albany_MO_2017,2017,U14-219257,86.3
Albany_MO_2017,2017,U14-223230,75.4
Albany_MO_2017,2017,U14-319013,72.9
Albany_MO_2017,2017,U14-319038,72.6
Albany_MO_2017,2017,U14-320041,84.4
Albany_MO_2017,2017,U14-321026,85.5
Albany_MO_2017,2017,U14-322043,85.5
Albany_MO_2017,2017,U14-605217,70.1
Albany_MO_2017,2017,U14-924158,61.2
Albany_MO_2017,2017,U15-606207,86.1
Albany_MO_2017,2017,U15-613163,82.9
Albany_MO_2017,2017,U15-908119,83.6
