line	organization	isCheck	year	location	loc_code	env_code	DIS	VSK
AAC_HODGE	AAFC	FALSE	2024	Crookston	CRK	CRK_24	45.5	11
AAC_SPIKE	AAFC	FALSE	2024	Crookston	CRK	CRK_24	55.1	50
AAC_WESTKING	AAFC	FALSE	2024	Crookston	CRK	CRK_24	27.4	14.5
BW5095	AAFC	FALSE	2024	Crookston	CRK	CRK_24	23.0666666666667	12
HY2136	AAFC	FALSE	2024	Crookston	CRK	CRK_24	41.6	25
MT21224	MSU	FALSE	2024	Crookston	CRK	CRK_24	65.4	45
MT22071	MSU	FALSE	2024	Crookston	CRK	CRK_24	74.0666666666667	42.5
MT22345	MSU	FALSE	2024	Crookston	CRK	CRK_24	62.9333333333333	35
MT22361	MSU	FALSE	2024	Crookston	CRK	CRK_24	62.6	30
MT23004	MSU	FALSE	2024	Crookston	CRK	CRK_24	72.2333333333333	55
MT23297	MSU	FALSE	2024	Crookston	CRK	CRK_24	48	18.5
NDHRS18-0069-B077	NDSU	FALSE	2024	Crookston	CRK	CRK_24	26.5333333333333	20
NDHRS18-0105-B080	NDSU	FALSE	2024	Crookston	CRK	CRK_24	30.4333333333333	8
NDHRS18-0178-B057	NDSU	FALSE	2024	Crookston	CRK	CRK_24	52.6	20
NDHRS18-0180-B101	NDSU	FALSE	2024	Crookston	CRK	CRK_24	53.8333333333333	11
NDHRS18-0261-B234	NDSU	FALSE	2024	Crookston	CRK	CRK_24	45.3666666666667	30
NDHRS19RIL-0121-212-1	NDSU	FALSE	2024	Crookston	CRK	CRK_24	56.5333333333333	30
SD5050	SDSU	FALSE	2024	Crookston	CRK	CRK_24	65.4333333333333	21
SD5153	SDSU	FALSE	2024	Crookston	CRK	CRK_24	23.8	8
SD5158	SDSU	FALSE	2024	Crookston	CRK	CRK_24	44.3666666666667	17.5
SD5193	SDSU	FALSE	2024	Crookston	CRK	CRK_24	18.6666666666667	12.5
SD5195	SDSU	FALSE	2024	Crookston	CRK	CRK_24	34.1333333333333	12
SD5203	SDSU	FALSE	2024	Crookston	CRK	CRK_24	19.7333333333333	8
SD5223	SDSU	FALSE	2024	Crookston	CRK	CRK_24	29.4333333333333	13.5
MN19342-1	UMN	FALSE	2024	Crookston	CRK	CRK_24	32.3666666666667	14.5
MN20080-3	UMN	FALSE	2024	Crookston	CRK	CRK_24	35.5	10
MN20081-2	UMN	FALSE	2024	Crookston	CRK	CRK_24	26.7333333333333	10
MN20171-1	UMN	FALSE	2024	Crookston	CRK	CRK_24	24.2333333333333	10
MN20172-2	UMN	FALSE	2024	Crookston	CRK	CRK_24	28.1	9
MT21220	MSU	FALSE	2024	Crookston	CRK	CRK_24	45.4	23.5
ALSEN	NDSU	TRUE	2024	Crookston	CRK	CRK_24	31.9	10
ND2710	NDSU	TRUE	2024	Crookston	CRK	CRK_24	19.6	14
BACUP	UMN	TRUE	2024	Crookston	CRK	CRK_24	58.9333333333333	40
WHEATON	UMN	TRUE	2024	Crookston	CRK	CRK_24	71.4	72.5
ACBARRIE	AAFC	FALSE	1999	Crookston	CRK	CRK_99	45	26
SD3310	SDSU	FALSE	1999	Crookston	CRK	CRK_99	18	13
SD3407	SDSU	FALSE	1999	Crookston	CRK	CRK_99	27	18
SD3414	SDSU	FALSE	1999	Crookston	CRK	CRK_99	18	12
MN97518	UMN	FALSE	1999	Crookston	CRK	CRK_99	12	15
MN97596	UMN	FALSE	1999	Crookston	CRK	CRK_99	23	25
MN97603	UMN	FALSE	1999	Crookston	CRK	CRK_99	21	15
MN98068	UMN	FALSE	1999	Crookston	CRK	CRK_99	45	21
MN98513	UMN	FALSE	1999	Crookston	CRK	CRK_99	26	31
ND2891	NDSU	FALSE	1999	Crookston	CRK	CRK_99	28	23
2375	NDSU	TRUE	1999	Crookston	CRK	CRK_99	39	23
ND2710	NDSU	TRUE	1999	Crookston	CRK	CRK_99	13	11
BACUP	UMN	TRUE	1999	Crookston	CRK	CRK_99	43	11
WHEATON	UMN	TRUE	1999	Crookston	CRK	CRK_99	62	50
BW483	AAFC	FALSE	2015	Carrington	CRT	CRT_15	10.325	NA
BW485	AAFC	FALSE	2015	Carrington	CRT	CRT_15	22.3	NA
BW499	AAFC	FALSE	2015	Carrington	CRT	CRT_15	9.9	NA
BW961	AAFC	FALSE	2015	Carrington	CRT	CRT_15	21.85	NA
MT1219	MSU	FALSE	2015	Carrington	CRT	CRT_15	52.55	NA
MT1337	MSU	FALSE	2015	Carrington	CRT	CRT_15	24.85	NA
MT1338	MSU	FALSE	2015	Carrington	CRT	CRT_15	24.25	NA
14-13-106	NDSU	FALSE	2015	Carrington	CRT	CRT_15	16.675	NA
14-13-135	NDSU	FALSE	2015	Carrington	CRT	CRT_15	22.675	NA
14-13-14	NDSU	FALSE	2015	Carrington	CRT	CRT_15	32.375	NA
14-13-21	NDSU	FALSE	2015	Carrington	CRT	CRT_15	25.85	NA
14-13-97	NDSU	FALSE	2015	Carrington	CRT	CRT_15	20.325	NA
SD4559	SDSU	FALSE	2015	Carrington	CRT	CRT_15	11	NA
SD4582	SDSU	FALSE	2015	Carrington	CRT	CRT_15	10	NA
SD4595	SDSU	FALSE	2015	Carrington	CRT	CRT_15	12.975	NA
SD4605	SDSU	FALSE	2015	Carrington	CRT	CRT_15	18.525	NA
SD4607	SDSU	FALSE	2015	Carrington	CRT	CRT_15	10.3	NA
MN11326-3	UMN	FALSE	2015	Carrington	CRT	CRT_15	25.675	NA
MN12265-1	UMN	FALSE	2015	Carrington	CRT	CRT_15	47.6	NA
MN12307-3	UMN	FALSE	2015	Carrington	CRT	CRT_15	23.925	NA
MN12423-5	UMN	FALSE	2015	Carrington	CRT	CRT_15	30.525	NA
MN12545-3	UMN	FALSE	2015	Carrington	CRT	CRT_15	17.425	NA
MT1316	MSU	FALSE	2015	Carrington	CRT	CRT_15	45.125	NA
2375	NDSU	TRUE	2015	Carrington	CRT	CRT_15	29.225	NA
ND2710	NDSU	TRUE	2015	Carrington	CRT	CRT_15	13.675	NA
BACUP	UMN	TRUE	2015	Carrington	CRT	CRT_15	12.5	NA
WHEATON	UMN	TRUE	2015	Carrington	CRT	CRT_15	39.9	NA
MT1775	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	71.6666667
MT1809	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	53.3333333
MT1866	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	50
MT1871	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	66.6666667
MT1872	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	73.3333333
NDHRS13-0114-C06	NDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	33.3333333
NDHRS13-0121-C05	NDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	45
NDHRS13-0215-C03	NDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	46.6666667
NDHRS13-0318-0003	NDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	35
SD4848	SDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	31.6666667
SD4917	SDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	23.3333333
SD4926	SDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	30
SD4947	SDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	40
SD4950	SDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	25
MN16103-1	UMN	FALSE	2020	Fargo	FRG	FRG_20	NA	38.3333333
MN16277-3	UMN	FALSE	2020	Fargo	FRG	FRG_20	NA	33.3333333
MN16340-8	UMN	FALSE	2020	Fargo	FRG	FRG_20	NA	36.6666667
MN16360-1	UMN	FALSE	2020	Fargo	FRG	FRG_20	NA	30
MN16408-5	UMN	FALSE	2020	Fargo	FRG	FRG_20	NA	26.6666667
NDHRS13-0170-0004	NDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	30
MT1855	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	53.3333333
MT1716	MSU	FALSE	2020	Fargo	FRG	FRG_20	NA	45
ND-HERON	NDSU	FALSE	2020	Fargo	FRG	FRG_20	NA	46.6666667
ND2710	NDSU	TRUE	2020	Fargo	FRG	FRG_20	NA	17.5
BACUP	UMN	TRUE	2020	Fargo	FRG	FRG_20	NA	43.3333333
WHEATON	UMN	TRUE	2020	Fargo	FRG	FRG_20	NA	61.6666667
AAC_HODGE	AAFC	FALSE	2024	Fargo	FRG	FRG_24	NA	16.75
AAC_SPIKE	AAFC	FALSE	2024	Fargo	FRG	FRG_24	NA	24.43
AAC_WESTKING	AAFC	FALSE	2024	Fargo	FRG	FRG_24	NA	15.79
BW5095	AAFC	FALSE	2024	Fargo	FRG	FRG_24	NA	12.65
HY2136	AAFC	FALSE	2024	Fargo	FRG	FRG_24	NA	35.81
MT21224	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	35.23
MT22071	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	47.68
MT22345	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	48.02
MT22361	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	50.91
MT23004	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	48.07
MT23297	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	15.11
NDHRS18-0069-B077	NDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	14.68
NDHRS18-0105-B080	NDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	9.13
NDHRS18-0178-B057	NDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	14.2
NDHRS18-0180-B101	NDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	9.89
NDHRS18-0261-B234	NDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	13.42
NDHRS19RIL-0121-212-1	NDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	19.54
SD5050	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	14.96
SD5153	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	8.9
SD5158	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	8.42
SD5193	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	19.17
SD5195	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	13.32
SD5203	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	13.8
SD5223	SDSU	FALSE	2024	Fargo	FRG	FRG_24	NA	17.08
MN19342-1	UMN	FALSE	2024	Fargo	FRG	FRG_24	NA	19.39
MN20080-3	UMN	FALSE	2024	Fargo	FRG	FRG_24	NA	17.68
MN20081-2	UMN	FALSE	2024	Fargo	FRG	FRG_24	NA	25
MN20171-1	UMN	FALSE	2024	Fargo	FRG	FRG_24	NA	10.91
MN20172-2	UMN	FALSE	2024	Fargo	FRG	FRG_24	NA	15.14
MT21220	MSU	FALSE	2024	Fargo	FRG	FRG_24	NA	32.43
ND2710	NDSU	TRUE	2024	Fargo	FRG	FRG_24	NA	10.38
BACUP	UMN	TRUE	2024	Fargo	FRG	FRG_24	NA	20.19
WHEATON	UMN	TRUE	2024	Fargo	FRG	FRG_24	NA	25.87
ACBARRIE	AAFC	FALSE	1999	Fargo	FRG	FRG_99	59	28
SD3310	SDSU	FALSE	1999	Fargo	FRG	FRG_99	67	43
SD3407	SDSU	FALSE	1999	Fargo	FRG	FRG_99	61	30
SD3414	SDSU	FALSE	1999	Fargo	FRG	FRG_99	26	28
MN97518	UMN	FALSE	1999	Fargo	FRG	FRG_99	48	32
MN97596	UMN	FALSE	1999	Fargo	FRG	FRG_99	55	30
MN97603	UMN	FALSE	1999	Fargo	FRG	FRG_99	62	29
MN98068	UMN	FALSE	1999	Fargo	FRG	FRG_99	51	26
MN98513	UMN	FALSE	1999	Fargo	FRG	FRG_99	61	33
ND2891	NDSU	FALSE	1999	Fargo	FRG	FRG_99	69	26
2375	NDSU	TRUE	1999	Fargo	FRG	FRG_99	61	34
ND2710	NDSU	TRUE	1999	Fargo	FRG	FRG_99	68	21
BACUP	UMN	TRUE	1999	Fargo	FRG	FRG_99	42	24
WHEATON	UMN	TRUE	1999	Fargo	FRG	FRG_99	91	74
PI182561	SDSU	FALSE	2000	Glenlea	GLL	GLL_00	16.56	NA
PI382161	SDSU	FALSE	2000	Glenlea	GLL	GLL_00	14.76	NA
PI382167	SDSU	FALSE	2000	Glenlea	GLL	GLL_00	17.34	NA
PI81791	SDSU	FALSE	2000	Glenlea	GLL	GLL_00	20.62	NA
MN97039	UMN	FALSE	2000	Glenlea	GLL	GLL_00	24.25	NA
MN97561	UMN	FALSE	2000	Glenlea	GLL	GLL_00	21.11	NA
MN98037	UMN	FALSE	2000	Glenlea	GLL	GLL_00	16.95	NA
MN98092	UMN	FALSE	2000	Glenlea	GLL	GLL_00	17.54	NA
MN98208	UMN	FALSE	2000	Glenlea	GLL	GLL_00	16.39	NA
MN98389	UMN	FALSE	2000	Glenlea	GLL	GLL_00	12.55	NA
2375	NDSU	TRUE	2000	Glenlea	GLL	GLL_00	20.34	NA
ND2710	NDSU	TRUE	2000	Glenlea	GLL	GLL_00	4.68	NA
BACUP	UMN	TRUE	2000	Glenlea	GLL	GLL_00	12.35	NA
WHEATON	UMN	TRUE	2000	Glenlea	GLL	GLL_00	56.94	NA
PI104131	SDSU	FALSE	2001	Glenlea	GLL	GLL_01	20.8	NA
PI185380	SDSU	FALSE	2001	Glenlea	GLL	GLL_01	26.7	NA
PI349478	SDSU	FALSE	2001	Glenlea	GLL	GLL_01	8.6	NA
PI382140	SDSU	FALSE	2001	Glenlea	GLL	GLL_01	11.3	NA
MN99109	UMN	FALSE	2001	Glenlea	GLL	GLL_01	19	NA
MN99112	UMN	FALSE	2001	Glenlea	GLL	GLL_01	16.3	NA
MN99126	UMN	FALSE	2001	Glenlea	GLL	GLL_01	20.3	NA
MN99192	UMN	FALSE	2001	Glenlea	GLL	GLL_01	17.1	NA
MN99322	UMN	FALSE	2001	Glenlea	GLL	GLL_01	19	NA
2375	NDSU	TRUE	2001	Glenlea	GLL	GLL_01	23.2	NA
ND2710	NDSU	TRUE	2001	Glenlea	GLL	GLL_01	11.3	NA
BACUP	UMN	TRUE	2001	Glenlea	GLL	GLL_01	26	NA
WHEATON	UMN	TRUE	2001	Glenlea	GLL	GLL_01	45.2	NA
PI163429	Argentina	FALSE	2002	Glenlea	GLL	GLL_02	36.5	NA
PI168727	Argentina	FALSE	2002	Glenlea	GLL	GLL_02	44.5	NA
PI345731	Argentina	FALSE	2002	Glenlea	GLL	GLL_02	19	NA
PI185843	Brazil	FALSE	2002	Glenlea	GLL	GLL_02	29.8	NA
PI264940	Greece	FALSE	2002	Glenlea	GLL	GLL_02	36.6	NA
SD3533	SDSU	FALSE	2002	Glenlea	GLL	GLL_02	55.5	NA
MN00021	UMN	FALSE	2002	Glenlea	GLL	GLL_02	30.9	NA
MN00173	UMN	FALSE	2002	Glenlea	GLL	GLL_02	38	NA
MN00274	UMN	FALSE	2002	Glenlea	GLL	GLL_02	10.6	NA
MN99225	UMN	FALSE	2002	Glenlea	GLL	GLL_02	47.9	NA
MN99408	UMN	FALSE	2002	Glenlea	GLL	GLL_02	15.5	NA
2375	NDSU	TRUE	2002	Glenlea	GLL	GLL_02	64.1	NA
ND2710	NDSU	TRUE	2002	Glenlea	GLL	GLL_02	15.3	NA
BACUP	UMN	TRUE	2002	Glenlea	GLL	GLL_02	20.6	NA
WHEATON	UMN	TRUE	2002	Glenlea	GLL	GLL_02	65.6	NA
BUCKAUSTRAL	Argentina	FALSE	2003	Glenlea	GLL	GLL_03	18.8	5.8
KLEINCONDOR	Argentina	FALSE	2003	Glenlea	GLL	GLL_03	50.3	10
ARTEMOWSKA	Bulgaria	FALSE	2003	Glenlea	GLL	GLL_03	33.9	12.7
ALBIDUM43	Russia	FALSE	2003	Glenlea	GLL	GLL_03	41.4	7.7
SD3746	SDSU	FALSE	2003	Glenlea	GLL	GLL_03	30.5	19.5
STEPNJACHKA	Ukraine	FALSE	2003	Glenlea	GLL	GLL_03	33.6	6.2
MN01116	UMN	FALSE	2003	Glenlea	GLL	GLL_03	15.3	3
MN01180	UMN	FALSE	2003	Glenlea	GLL	GLL_03	5.3	6.5
MN01281	UMN	FALSE	2003	Glenlea	GLL	GLL_03	5.7	2.9
MN99433-1	UMN	FALSE	2003	Glenlea	GLL	GLL_03	40.4	7.8
ND03_1-15	NDSU	FALSE	2003	Glenlea	GLL	GLL_03	45.1	12.8
ND03_1-9	NDSU	FALSE	2003	Glenlea	GLL	GLL_03	9.4	8.6
2375	NDSU	TRUE	2003	Glenlea	GLL	GLL_03	23.3	10.6
ND2710	NDSU	TRUE	2003	Glenlea	GLL	GLL_03	1.3	1.6
BACUP	UMN	TRUE	2003	Glenlea	GLL	GLL_03	18	4.2
WHEATON	UMN	TRUE	2003	Glenlea	GLL	GLL_03	65.3	NA
WASKADA	AAFC	FALSE	2006	Glenlea	GLL	GLL_06	33.4375	7.625
CROMWELL	UMN	FALSE	2006	Glenlea	GLL	GLL_06	20.375	5.25
MN02268-A-4	UMN	FALSE	2006	Glenlea	GLL	GLL_06	16.75	5.5
TOM	UMN	FALSE	2006	Glenlea	GLL	GLL_06	NA	8
NDSW0430	NDSU	FALSE	2006	Glenlea	GLL	GLL_06	13.25	10.4375
MN00209-3-1	UMN	FALSE	2006	Glenlea	GLL	GLL_06	9.0625	2.9375
MN02222-1	UMN	FALSE	2006	Glenlea	GLL	GLL_06	6.875	2.375
2375	NDSU	TRUE	2006	Glenlea	GLL	GLL_06	43.8125	16.5625
ND2710	NDSU	TRUE	2006	Glenlea	GLL	GLL_06	NA	13.0625
BACUP	UMN	TRUE	2006	Glenlea	GLL	GLL_06	NA	3.4375
WHEATON	UMN	TRUE	2006	Glenlea	GLL	GLL_06	NA	28.3125
ES101	AAFC	FALSE	2007	Glenlea	GLL	GLL_07	36.25	12.2
MN03013-3-2	UMN	FALSE	2007	Glenlea	GLL	GLL_07	19.625	3.5
MN03191-2-1	UMN	FALSE	2007	Glenlea	GLL	GLL_07	20.75	2.4
NDSW0430	NDSU	FALSE	2007	Glenlea	GLL	GLL_07	15.5	3.3
MN00209-3-1	UMN	FALSE	2007	Glenlea	GLL	GLL_07	12.25	2.1
MN02222-1	UMN	FALSE	2007	Glenlea	GLL	GLL_07	14	1.7
RUGBY	NDSU	TRUE	2007	Glenlea	GLL	GLL_07	46	4.8
BRICK	SDSU	FALSE	2007	Glenlea	GLL	GLL_07	16.625	2.5
2375	NDSU	TRUE	2007	Glenlea	GLL	GLL_07	25.125	7.3
ND2710	NDSU	TRUE	2007	Glenlea	GLL	GLL_07	24.125	1.3
BACUP	UMN	TRUE	2007	Glenlea	GLL	GLL_07	36.5	2.7
WHEATON	UMN	TRUE	2007	Glenlea	GLL	GLL_07	39	17.6
SD3942	SDSU	FALSE	2008	Glenlea	GLL	GLL_08	0.375	1.66666666666667
SD4181	SDSU	FALSE	2008	Glenlea	GLL	GLL_08	1.5625	1.33333333333333
MN03342-4	UMN	FALSE	2008	Glenlea	GLL	GLL_08	1.75	1.54166666666667
MN05117-7	UMN	FALSE	2008	Glenlea	GLL	GLL_08	4.5	2.625
MN05149-5	UMN	FALSE	2008	Glenlea	GLL	GLL_08	0.375	NA
SABIN	UMN	FALSE	2008	Glenlea	GLL	GLL_08	4	2.41666666666667
RUGBY	NDSU	TRUE	2008	Glenlea	GLL	GLL_08	9.0625	5.25
2375	NDSU	TRUE	2008	Glenlea	GLL	GLL_08	10.625	9.91666666666667
ND2710	NDSU	TRUE	2008	Glenlea	GLL	GLL_08	21.5	9.75
BACUP	UMN	TRUE	2008	Glenlea	GLL	GLL_08	0.75	0.791666666666667
WHEATON	UMN	TRUE	2008	Glenlea	GLL	GLL_08	50.6875	32
FOREFRONT	SDSU	FALSE	2009	Glenlea	GLL	GLL_09	15.875	NA
SD4011	SDSU	FALSE	2009	Glenlea	GLL	GLL_09	13.5	NA
SD4027	SDSU	FALSE	2009	Glenlea	GLL	GLL_09	15.125	NA
SELECT	SDSU	FALSE	2009	Glenlea	GLL	GLL_09	18	NA
MN05152-1-1	UMN	FALSE	2009	Glenlea	GLL	GLL_09	10.125	NA
MN06049-1-3	UMN	FALSE	2009	Glenlea	GLL	GLL_09	11.625	NA
MN06202-3-1	UMN	FALSE	2009	Glenlea	GLL	GLL_09	14.0625	NA
MN06213-6-2-4	UMN	FALSE	2009	Glenlea	GLL	GLL_09	12	NA
MN06219-2-2	UMN	FALSE	2009	Glenlea	GLL	GLL_09	7.875	NA
2375	NDSU	TRUE	2009	Glenlea	GLL	GLL_09	15.25	NA
ND2710	NDSU	TRUE	2009	Glenlea	GLL	GLL_09	7.1875	NA
BACUP	UMN	TRUE	2009	Glenlea	GLL	GLL_09	18.9375	NA
WHEATON	UMN	TRUE	2009	Glenlea	GLL	GLL_09	35.375	NA
FN09-17017	SDSU	FALSE	2010	Glenlea	GLL	GLL_10	6.6875	1.95833333333333
FN09-17210	SDSU	FALSE	2010	Glenlea	GLL	GLL_10	6.75	1.66666666666667
FN09-17213	SDSU	FALSE	2010	Glenlea	GLL	GLL_10	1.9375	4.41666666666667
FN09-17270	SDSU	FALSE	2010	Glenlea	GLL	GLL_10	6.1875	2.29166666666667
FN09-17275	SDSU	FALSE	2010	Glenlea	GLL	GLL_10	5.1875	0.916666666666667
MN06216-6-2-4	UMN	FALSE	2010	Glenlea	GLL	GLL_10	12.375	3.91666666666667
MN07049-7-3	UMN	FALSE	2010	Glenlea	GLL	GLL_10	2.5	1.625
MN07183-3	UMN	FALSE	2010	Glenlea	GLL	GLL_10	14.5	4.58333333333333
MN07057-6-4	UMN	FALSE	2011	Glenlea	GLL	GLL_11	1.1875	1.04166666666667
MN07167W-2-1	UMN	FALSE	2011	Glenlea	GLL	GLL_11	3.375	1.29166666666667
MN09023	UMN	FALSE	2011	Glenlea	GLL	GLL_11	4.375	0.666666666666667
MN09092	UMN	FALSE	2011	Glenlea	GLL	GLL_11	1.625	0.833333333333333
X00009-16	UMN	FALSE	2011	Glenlea	GLL	GLL_11	2.0625	0.791666666666667
BW928	AAFC	FALSE	2011	Glenlea	GLL	GLL_11	3.125	2.04166666666667
2375	NDSU	TRUE	2011	Glenlea	GLL	GLL_11	5.25	1.79166666666667
BACUP	UMN	TRUE	2011	Glenlea	GLL	GLL_11	4.3125	0.875
WHEATON	UMN	TRUE	2011	Glenlea	GLL	GLL_11	17.625	7.08333333333333
BW464	AAFC	FALSE	2012	Glenlea	GLL	GLL_12	6.5	1.95833333333333
BW484	AAFC	FALSE	2012	Glenlea	GLL	GLL_12	9.375	4.54166666666667
11EXP13-105	NDSU	FALSE	2012	Glenlea	GLL	GLL_12	3.875	2.45833333333333
11EXP13-107	NDSU	FALSE	2012	Glenlea	GLL	GLL_12	3.25	1.91666666666667
11EXP13-43	NDSU	FALSE	2012	Glenlea	GLL	GLL_12	10.125	4.25
11EXP13-65	NDSU	FALSE	2012	Glenlea	GLL	GLL_12	22.75	7.875
11EXP13-78	NDSU	FALSE	2012	Glenlea	GLL	GLL_12	6.125	2.29166666666667
MN08166	UMN	FALSE	2012	Glenlea	GLL	GLL_12	2.625	2.29166666666667
MN08173	UMN	FALSE	2012	Glenlea	GLL	GLL_12	4.25	3.91666666666667
MN09027	UMN	FALSE	2012	Glenlea	GLL	GLL_12	1.625	2.41666666666667
MN09071	UMN	FALSE	2012	Glenlea	GLL	GLL_12	4	2.5
MN09121	UMN	FALSE	2012	Glenlea	GLL	GLL_12	2	4.08333333333333
BW429	AAFC	FALSE	2012	Glenlea	GLL	GLL_12	5.5625	3.375
BW928	AAFC	FALSE	2012	Glenlea	GLL	GLL_12	5	3.20833333333333
2375	NDSU	TRUE	2012	Glenlea	GLL	GLL_12	13.5	4.91666666666667
ND2710	NDSU	TRUE	2012	Glenlea	GLL	GLL_12	7.5	2.375
BACUP	UMN	TRUE	2012	Glenlea	GLL	GLL_12	6.625	2.08333333333333
WHEATON	UMN	TRUE	2012	Glenlea	GLL	GLL_12	18.125	14.5416666666667
PI182561	SDSU	FALSE	2000	Langdon	LGD	LGD_00	1.1	5.5
PI382161	SDSU	FALSE	2000	Langdon	LGD	LGD_00	0.2	2.5
PI382167	SDSU	FALSE	2000	Langdon	LGD	LGD_00	0	8
PI81791	SDSU	FALSE	2000	Langdon	LGD	LGD_00	0	4.8
MN97039	UMN	FALSE	2000	Langdon	LGD	LGD_00	1.2	7.6
MN97561	UMN	FALSE	2000	Langdon	LGD	LGD_00	3.4	12.1
MN98037	UMN	FALSE	2000	Langdon	LGD	LGD_00	0.9	4.8
MN98092	UMN	FALSE	2000	Langdon	LGD	LGD_00	2.3	13.5
MN98208	UMN	FALSE	2000	Langdon	LGD	LGD_00	2.4	10.8
MN98389	UMN	FALSE	2000	Langdon	LGD	LGD_00	2.9	10
2375	NDSU	TRUE	2000	Langdon	LGD	LGD_00	7.4	13.8
ND2710	NDSU	TRUE	2000	Langdon	LGD	LGD_00	0.4	5
BACUP	UMN	TRUE	2000	Langdon	LGD	LGD_00	2	4
WHEATON	UMN	TRUE	2000	Langdon	LGD	LGD_00	11.6	34.4
PI104131	SDSU	FALSE	2001	Langdon	LGD	LGD_01	1.3	10
PI185380	SDSU	FALSE	2001	Langdon	LGD	LGD_01	4.6	10.3
PI349478	SDSU	FALSE	2001	Langdon	LGD	LGD_01	13.7	12
PI382140	SDSU	FALSE	2001	Langdon	LGD	LGD_01	1.4	6.3
MN99109	UMN	FALSE	2001	Langdon	LGD	LGD_01	7.4	13
MN99112	UMN	FALSE	2001	Langdon	LGD	LGD_01	2.3	6.3
MN99126	UMN	FALSE	2001	Langdon	LGD	LGD_01	2.9	11.7
MN99192	UMN	FALSE	2001	Langdon	LGD	LGD_01	3.7	9.7
MN99322	UMN	FALSE	2001	Langdon	LGD	LGD_01	7.7	15.3
2375	NDSU	TRUE	2001	Langdon	LGD	LGD_01	8.5	15.7
ND2710	NDSU	TRUE	2001	Langdon	LGD	LGD_01	1.9	8.7
BACUP	UMN	TRUE	2001	Langdon	LGD	LGD_01	5.9	14.7
WHEATON	UMN	TRUE	2001	Langdon	LGD	LGD_01	7.8	35.7
PI163429	Argentina	FALSE	2002	Langdon	LGD	LGD_02	1.3	4
PI168727	Argentina	FALSE	2002	Langdon	LGD	LGD_02	1.8	8.7
PI345731	Argentina	FALSE	2002	Langdon	LGD	LGD_02	0.3	8
PI264940	Greece	FALSE	2002	Langdon	LGD	LGD_02	4.1	9.3
SD3533	SDSU	FALSE	2002	Langdon	LGD	LGD_02	4.9	11.3
MN00021	UMN	FALSE	2002	Langdon	LGD	LGD_02	1.5	4.3
MN00173	UMN	FALSE	2002	Langdon	LGD	LGD_02	4.8	4.7
MN00274	UMN	FALSE	2002	Langdon	LGD	LGD_02	0.7	9
MN99225	UMN	FALSE	2002	Langdon	LGD	LGD_02	1.4	5.7
MN99408	UMN	FALSE	2002	Langdon	LGD	LGD_02	5.2	5.7
2375	NDSU	TRUE	2002	Langdon	LGD	LGD_02	8.7	13
ND2710	NDSU	TRUE	2002	Langdon	LGD	LGD_02	0.5	3
BACUP	UMN	TRUE	2002	Langdon	LGD	LGD_02	5.5	7.7
WHEATON	UMN	TRUE	2002	Langdon	LGD	LGD_02	12.7	24.3
BUCKAUSTRAL	Argentina	FALSE	2003	Langdon	LGD	LGD_03	1.6	2.3
KLEINCONDOR	Argentina	FALSE	2003	Langdon	LGD	LGD_03	2.3	3.7
ARTEMOWSKA	Bulgaria	FALSE	2003	Langdon	LGD	LGD_03	0.3	0.7
ALBIDUM43	Russia	FALSE	2003	Langdon	LGD	LGD_03	0.5	1.3
SD3746	SDSU	FALSE	2003	Langdon	LGD	LGD_03	0.7	5.3
STEPNJACHKA	Ukraine	FALSE	2003	Langdon	LGD	LGD_03	0.2	3
