dataset,metric,monotone_drift,affine_drift,reverse_change,monotone_invariant,affine_invariant,order_sensitive,tier
maize,RMSE,2.0547843111001485,0.9153801492415236,5.4323018766421045,False,False,True,III
maize,MAE,2.719926270781616,0.9342390462766604,7.034180791653351,False,False,True,III
maize,normalized_RMSE,2.054784311100148,0.9153801492415237,5.4323018766421045,False,False,True,III
maize,relative_RMSE,2.0547843111001485,0.9153801492415237,5.432301876642105,False,False,True,III
maize,normalized_MAE,2.719926270781616,0.9342390462766605,7.03418079165335,False,False,True,III
maize,realative_MAE,2.7199262707816154,0.9342390462766605,7.034180791653354,False,False,True,III
maize,r2_score,60.71811713018896,19.330515000789404,228.58161433884663,False,False,True,III
maize,pearson_r,0.8524444545626602,1.030194341682484,2.0,False,False,True,III
maize,r2_pearson,0.9329755773073286,0.9516307049181263,0.0,False,False,False,III
maize,spearman_r,0.8577246852127394,1.1303079317972418,2.0,False,False,True,III
maize,lineRegressSlope,1.3275342034898403,0.9589542859034732,2.0,False,False,True,III
maize,mean_RMSE,2.154728403386125,0.7887055047943832,5.776200112190841,False,False,True,III
maize,mean_MAE,2.5805730216651925,0.9384567839988143,6.752055827741853,False,False,True,III
maize,mean_normalized_RMSE,2.1313935008335596,0.7948065920298875,5.7284610521072565,False,False,True,III
maize,mean_relative_RMSE,1.697843907271798,0.6908808051074552,4.8971406210856365,False,False,True,III
maize,mean_normalized_MAE,2.5360476867959356,0.927799806699329,6.657294505245167,False,False,True,III
maize,mean_realative_MAE,1.9758506702310674,0.8083453125801137,5.748666097263945,False,False,True,III
maize,mean_r2_score,11.005120529224406,3.791643922890332,52.53553014817281,False,False,True,III
maize,mean_pearson_r,0.15656382114650402,1.951592246561401e-16,2.0,False,True,True,II
maize,mean_r2_pearson,0.2971421263005126,2.525891108263799e-16,0.0,False,True,False,III
maize,mean_spearman_r,0.0,0.0,2.0,True,True,True,I
maize,mean_lineRegressSlope,0.3782159393945581,0.08663593995119984,2.0,False,False,True,III
common bean,RMSE,3.593457459900127,1.5359155187683844,8.056590717867538,False,False,True,III
common bean,MAE,4.446769858959897,1.6166829499603625,9.923473277715885,False,False,True,III
common bean,normalized_RMSE,3.5934574599001277,1.5359155187683844,8.05659071786754,False,False,True,III
common bean,relative_RMSE,3.5934574599001277,1.5359155187683844,8.056590717867538,False,False,True,III
common bean,normalized_MAE,4.4467698589598985,1.6166829499603623,9.923473277715887,False,False,True,III
common bean,realative_MAE,4.446769858959898,1.6166829499603625,9.923473277715885,False,False,True,III
common bean,r2_score,7.858290837112548,2.3049419705054177,31.45283542235903,False,False,True,III
common bean,pearson_r,0.7786481309277726,0.29381958454729007,2.0,False,False,True,III
common bean,r2_pearson,0.9526892826533031,0.49286528587542955,0.0,False,False,False,III
common bean,spearman_r,0.7698842221136712,0.2570537768842647,2.0,False,False,True,III
common bean,lineRegressSlope,343.33906951902213,0.6092942003024908,2.0,False,False,True,III
common bean,mean_RMSE,3.569721157860638,1.330864285367198,8.015820339270567,False,False,True,III
common bean,mean_MAE,4.59877026934123,1.6721161540756828,10.252427128845172,False,False,True,III
common bean,mean_normalized_RMSE,3.4675117914074436,1.292477450850313,7.790689605739109,False,False,True,III
common bean,mean_relative_RMSE,3.2306255087548514,1.206602589002956,7.319995515477825,False,False,True,III
common bean,mean_normalized_MAE,4.473450893217052,1.6344820544511645,9.924642449228228,False,False,True,III
common bean,mean_realative_MAE,4.159800520903714,1.526868678713774,9.328348326331836,False,False,True,III
common bean,mean_r2_score,165.55674699313624,46.471360461034166,667.660610520769,False,False,True,III
common bean,mean_pearson_r,0.06449178443982508,0.0,2.0,False,True,True,II
common bean,mean_r2_pearson,0.1223748175347902,1.5765016371357452e-16,0.0,False,True,False,III
common bean,mean_spearman_r,0.0,0.0,2.0,True,True,True,I
common bean,mean_lineRegressSlope,549.8156974073856,0.10555015708735548,2.0,False,False,True,III
spring wheat,RMSE,4.200268126136445,1.9830957996211036,9.409309373094436,False,False,True,III
spring wheat,MAE,6.015625547474803,2.3368659547510537,13.205783627845294,False,False,True,III
spring wheat,normalized_RMSE,4.200268126136445,1.983095799621104,9.409309373094436,False,False,True,III
spring wheat,relative_RMSE,4.200268126136445,1.983095799621104,9.409309373094436,False,False,True,III
spring wheat,normalized_MAE,6.015625547474803,2.3368659547510537,13.205783627845294,False,False,True,III
spring wheat,realative_MAE,6.015625547474803,2.3368659547510537,13.205783627845292,False,False,True,III
spring wheat,r2_score,26.91597830595753,8.137341124836599,110.55745403965666,False,False,True,III
spring wheat,pearson_r,0.8442823053066209,0.522361876730508,2.0,False,False,True,III
spring wheat,r2_pearson,0.9757517720897773,0.771443271999007,0.0,False,False,False,III
spring wheat,spearman_r,0.8485310651018078,0.5424048523282108,2.0,False,False,True,III
spring wheat,lineRegressSlope,7.189910964282182,0.8194089816923007,2.0,False,False,True,III
spring wheat,mean_RMSE,4.421901454313609,1.7492969325041838,9.849367012176396,False,False,True,III
spring wheat,mean_MAE,5.897254174052483,2.295111333808168,12.988705642548812,False,False,True,III
spring wheat,mean_normalized_RMSE,6.954067121157001,2.634503015659614,14.909182861943647,False,False,True,III
spring wheat,mean_relative_RMSE,3.9063526148083403,1.5719424145778418,8.803269170992477,False,False,True,III
spring wheat,mean_normalized_MAE,9.030763732606204,3.4203232269513926,19.18020326865553,False,False,True,III
spring wheat,mean_realative_MAE,5.166418984555582,2.031556701444612,11.52914643013846,False,False,True,III
spring wheat,mean_r2_score,233.96308575515314,51.18880294793223,961.1564743272509,False,False,True,III
spring wheat,mean_pearson_r,0.15266464854397116,1.2632046813995714e-16,2.0,False,True,True,II
spring wheat,mean_r2_pearson,0.11286622439344464,1.2928013145910238e-16,0.0,False,True,False,III
spring wheat,mean_spearman_r,0.0,0.0,2.0,True,True,True,I
spring wheat,mean_lineRegressSlope,25.71191976929945,0.09670932568245383,2.0,False,False,True,III
soybean,RMSE,3.4911492460380558,1.5144189574337188,7.91503989787166,False,False,True,III
soybean,MAE,4.47824209425354,1.5636924101114005,10.030834452157986,False,False,True,III
soybean,normalized_RMSE,3.491149246038055,1.5144189574337186,7.915039897871661,False,False,True,III
soybean,relative_RMSE,3.4911492460380558,1.514418957433719,7.91503989787166,False,False,True,III
soybean,normalized_MAE,4.47824209425354,1.5636924101114005,10.030834452157986,False,False,True,III
soybean,realative_MAE,4.478242094253542,1.5636924101114005,10.030834452157986,False,False,True,III
soybean,r2_score,110.12841860079723,30.492987884509503,450.8014983684002,False,False,True,III
soybean,pearson_r,0.7963588696251689,0.6053389916540234,2.0,False,False,True,III
soybean,r2_pearson,0.9585302879742952,0.8412520120739919,0.0,False,False,False,III
soybean,spearman_r,0.7955158339343829,0.6320636801939569,2.0,False,False,True,III
soybean,lineRegressSlope,5.859098839395623,0.8692780147957424,2.0,False,False,True,III
soybean,mean_RMSE,3.53514591633778,1.2243661923136178,8.067912438904246,False,False,True,III
soybean,mean_MAE,4.097646909890675,1.4141133076395453,9.255831965658336,False,False,True,III
soybean,mean_normalized_RMSE,3.5542569138077384,1.2161521913183397,8.08933253022653,False,False,True,III
soybean,mean_relative_RMSE,3.033285758307702,1.1633405418250358,7.237249427470012,False,False,True,III
soybean,mean_normalized_MAE,4.071241245300276,1.3921554286037865,9.170271412525711,False,False,True,III
soybean,mean_realative_MAE,3.5048714784309847,1.3306950188236897,8.270961659339584,False,False,True,III
soybean,mean_r2_score,19.755864638591902,5.369958216299235,80.28492572722573,False,False,True,III
soybean,mean_pearson_r,0.10311275201395756,0.0,2.0,False,True,True,II
soybean,mean_r2_pearson,0.13346768283608693,0.0,0.0,False,True,False,III
soybean,mean_spearman_r,0.0,0.0,2.0,True,True,True,I
soybean,mean_lineRegressSlope,10.869607153621502,0.07503356219074792,2.0,False,False,True,III
Chinese maize (CUBIC),RMSE,2.5214222278755285,1.1120461501439256,5.867340956234698,False,False,True,III
Chinese maize (CUBIC),MAE,3.2691646384371795,1.2102341279800453,7.58423183970164,False,False,True,III
Chinese maize (CUBIC),normalized_RMSE,2.5214222278755285,1.1120461501439256,5.867340956234698,False,False,True,III
Chinese maize (CUBIC),relative_RMSE,2.5214222278755285,1.1120461501439254,5.867340956234698,False,False,True,III
Chinese maize (CUBIC),normalized_MAE,3.2691646384371795,1.210234127980045,7.58423183970164,False,False,True,III
Chinese maize (CUBIC),realative_MAE,3.2691646384371795,1.210234127980045,7.58423183970164,False,False,True,III
Chinese maize (CUBIC),r2_score,27.799803849034248,9.004826024940664,112.56163368358546,False,False,True,III
Chinese maize (CUBIC),pearson_r,0.6574651820612852,0.4770823905829288,2.0,False,False,True,III
Chinese maize (CUBIC),r2_pearson,0.8822113525598262,0.7209459547911736,0.0,False,False,False,III
Chinese maize (CUBIC),spearman_r,0.6639463480580208,0.44816150142566413,2.0,False,False,True,III
Chinese maize (CUBIC),lineRegressSlope,22.450266816650327,0.8036306200878106,2.0,False,False,True,III
Chinese maize (CUBIC),mean_RMSE,2.5275568626276685,0.9685193851973876,5.874548784894124,False,False,True,III
Chinese maize (CUBIC),mean_MAE,3.2792162448793136,1.2150406360306576,7.604411510954682,False,False,True,III
Chinese maize (CUBIC),mean_normalized_RMSE,2.5728432905781915,0.974529272251384,5.96943859345837,False,False,True,III
Chinese maize (CUBIC),mean_relative_RMSE,2.4658454476084373,0.9266017646549842,5.748222778597947,False,False,True,III
Chinese maize (CUBIC),mean_normalized_MAE,3.346367972384603,1.230567829441861,7.73970442635175,False,False,True,III
Chinese maize (CUBIC),mean_realative_MAE,3.1992134423090977,1.1749685730641544,7.444824779021205,False,False,True,III
Chinese maize (CUBIC),mean_r2_score,181.23067658430486,56.065026513143536,735.831584182463,False,False,True,III
Chinese maize (CUBIC),mean_pearson_r,0.06978268781034913,0.0,2.0,False,True,True,II
Chinese maize (CUBIC),mean_r2_pearson,0.13106082675745787,1.6389570012575638e-16,0.0,False,True,False,III
Chinese maize (CUBIC),mean_spearman_r,0.0,0.0,2.0,True,True,True,I
Chinese maize (CUBIC),mean_lineRegressSlope,35.061046717975316,0.14751297369468477,2.0,False,False,True,III
