dataset,M,n_per_env,n_env,r_lo,r_hi,empirical,theory_lam0,theory_lam05,theory_lam08,ratio_lam05,transfer_lo,transfer_hi
common bean,17,344,10,0.3686194960123889,0.44623600972943056,0.0662200742930538,0.047610371021242485,0.04330742332638699,0.03582984373874497,1.529069826989828,,
spring wheat,17,16,109,-0.04737181873391877,0.3522727184906866,0.2130949351488062,0.06401777241526382,0.06637003472250046,0.059733701132351366,3.2107100145385905,,
soybean,26,61,169,0.15059251332902718,0.34860286402352286,0.1162520025950632,0.03173226525759643,0.028008274342146963,0.025122996289499794,4.150630673455191,,
maize (G2F design),30,445,23,-0.041729474999999995,0.35414255,,0.03087494875900945,0.02847527214121088,0.024748291466651563,,0.043540679446449584,0.11819033798429394
