dataset,source,methods,envs,genos_per_env,reversal,ci_lo,ci_hi,width,width_frac,threshold,reliability
maize,G2F 2022,30,23,445,0.2689655172413793,0.18009478672985782,0.37056664091506575,17.0,0.5666666666666667,,
common bean,VEF,52,10,344,0.397196261682243,0.3144145587200474,0.4488013689572544,39.0,0.75,0.0662200742930538,0.8686393341842333
spring wheat,URSN,52,109,16,0.4719626168224299,0.39094806381978914,0.5360412117052473,44.0,0.8461538461538461,0.2130949351488062,0.6473666623827273
soybean,NUST,66,184,55,0.34685114503816794,0.26030052599542564,0.425257333631434,52.0,0.7878787878787878,0.1162520025950632,0.7858750358516735
