dataset,panel,removed,n_methods,splits,neg_RMSE,neg_MAE,r2_score,pearson,spearman,NDCG,corr_lo,corr_hi,err_lo,err_hi
common bean,augmented,none,52,400,0.5995504501930229,0.5736652692264633,0.6826192942336761,0.5529040175950286,0.5697455161281116,0.6896488353848982,0.5529040175950286,0.5697455161281116,0.5736652692264633,0.6826192942336761
common bean,augmented,GBLUP models,50,400,0.9103933035096792,0.913165779703648,0.8987940195882635,0.9032738016702362,0.9165828837349289,0.6969197844521198,0.9032738016702362,0.9165828837349289,0.8987940195882635,0.913165779703648
common bean,base,none,17,400,0.2024963355183702,0.15094545554721814,0.3679296780170853,0.10959898815007613,0.14313918516607899,0.3889026061570832,0.10959898815007613,0.14313918516607899,0.15094545554721814,0.3679296780170853
common bean,base,GBLUP models,15,400,0.8220786824962794,0.8275836574200222,0.7990473694557312,0.8079423378160503,0.8343685928668774,0.4049995676306976,0.8079423378160503,0.8343685928668774,0.7990473694557312,0.8275836574200222
common bean,base,ens,16,200,0.1389020224667004,0.1484510884229291,0.08678635363734033,0.14920043199501212,0.15398498364961702,0.33168021559243066,0.14920043199501212,0.15398498364961702,0.08678635363734033,0.1484510884229291
common bean,base,gblup,16,200,0.1955328304373695,0.15671139549553048,0.34175661444217215,0.12233523269658118,0.1494423524556224,0.3592513739445536,0.12233523269658118,0.1494423524556224,0.15671139549553048,0.34175661444217215
common bean,base,gblup_gxe,16,200,0.8288108575460987,0.8365655889418877,0.8040008756350373,0.7993906224503708,0.8411076667127055,0.3501889483021812,0.7993906224503708,0.8411076667127055,0.8040008756350373,0.8365655889418877
common bean,base,gbm,16,200,0.21895388378239466,0.18007747484337586,0.36538473138238764,0.14565263287840413,0.17279813830576027,0.3946854970063001,0.14565263287840413,0.17279813830576027,0.18007747484337586,0.36538473138238764
common bean,base,knn10,16,200,0.12010212988934803,0.07764061099537657,0.2800365572635519,0.040041174282729415,0.06968998761315061,0.29917170933273163,0.040041174282729415,0.06968998761315061,0.07764061099537657,0.2800365572635519
common bean,base,knn30,16,200,0.14427203279440415,0.10297688879885064,0.2998132235077168,0.06641027051377305,0.0952446609846909,0.3184227523389093,0.06641027051377305,0.0952446609846909,0.10297688879885064,0.2998132235077168
common bean,base,markeronly_pc80,16,200,0.1456887601632039,0.10446198364299197,0.3009724397628166,0.06795590437369307,0.09674255716194968,0.31955115900284703,0.06795590437369307,0.09674255716194968,0.10446198364299197,0.3009724397628166
common bean,base,mlp,16,200,0.21577442714221204,0.17680901966892268,0.3625404942535759,0.1423053700012595,0.16951301877623956,0.39196178775919127,0.1423053700012595,0.16951301877623956,0.17680901966892268,0.3625404942535759
common bean,base,rf,16,200,0.19933774995444312,0.15264569960424682,0.37534876207936285,0.11810380110923423,0.14534161077068866,0.3561621716923423,0.11810380110923423,0.14534161077068866,0.15264569960424682,0.37534876207936285
common bean,base,ridge_pc20_hi,16,200,0.2093640899386525,0.17121011460387822,0.35307383834529704,0.13742498354161137,0.16406604872203814,0.35887455630787773,0.13742498354161137,0.16406604872203814,0.17121011460387822,0.35307383834529704
common bean,base,ridge_pc20_lo,16,200,0.2093640899386525,0.17121011460387822,0.35307383834529704,0.13742498354161137,0.16406604872203814,0.37026780924157343,0.13742498354161137,0.16406604872203814,0.17121011460387822,0.35307383834529704
common bean,base,ridge_pc40_hi,16,200,0.1761101015891306,0.13635137767776803,0.3258642532898988,0.10114525075579565,0.12890683381285167,0.34378139916544276,0.10114525075579565,0.12890683381285167,0.13635137767776803,0.3258642532898988
common bean,base,ridge_pc40_lo,16,200,0.1761101015891306,0.13635137767776803,0.3258642532898988,0.10114525075579565,0.12890683381285167,0.34378139916544276,0.10114525075579565,0.12890683381285167,0.13635137767776803,0.3258642532898988
common bean,base,ridge_pc5_hi,16,200,0.15223380824630034,0.1113228782490575,0.30632782873561765,0.07509647930351102,0.10366259182744132,0.32476421271763184,0.07509647930351102,0.10366259182744132,0.1113228782490575,0.30632782873561765
common bean,base,ridge_pc5_lo,16,200,0.15223380824630034,0.1113228782490575,0.30632782873561765,0.07509647930351102,0.10366259182744132,0.32476421271763184,0.07509647930351102,0.10366259182744132,0.1113228782490575,0.30632782873561765
common bean,base,ridge_pc80_hi,16,200,0.16727650683438133,0.12709149725587277,0.3186362947876602,0.09150789676769594,0.11956713437173615,0.3367455449797294,0.09150789676769594,0.11956713437173615,0.12709149725587277,0.3186362947876602
common bean,base,ridge_pc80_lo,16,200,0.1674040531115707,0.12722519857541728,0.31874065764607007,0.09164704834270762,0.11970198818005032,0.33684713408735206,0.09164704834270762,0.11970198818005032,0.12722519857541728,0.31874065764607007
spring wheat,augmented,none,52,400,0.28540484402565736,0.24052426643261507,0.032192460746406575,0.7339108139638948,0.5156995393564396,0.33035986342693885,0.5156995393564396,0.7339108139638948,0.032192460746406575,0.28540484402565736
spring wheat,augmented,GBLUP models,50,400,0.299451843978681,0.2548337876376472,0.04772058316815767,0.7453343550606376,0.528399469931316,0.34620978623010495,0.528399469931316,0.7453343550606376,0.04772058316815767,0.299451843978681
spring wheat,base,none,17,400,0.37898486763099737,0.33840458262358036,0.15003436761621408,0.7845166380252192,0.5872135686285578,0.5520590402038704,0.5872135686285578,0.7845166380252192,0.15003436761621408,0.37898486763099737
spring wheat,base,GBLUP models,15,400,0.42095363005197783,0.38237157707720865,0.20327698439619332,0.8065164284759432,0.6189288480990384,0.5932397125558184,0.6189288480990384,0.8065164284759432,0.20327698439619332,0.42095363005197783
spring wheat,base,ens,16,200,0.7979332272548508,0.8683759201107276,0.12320406404371137,0.7766318244982662,0.62345058765627,0.5585533838040669,0.62345058765627,0.7766318244982662,0.12320406404371137,0.8683759201107276
spring wheat,base,gblup,16,200,0.37952357342902376,0.3493538159366398,0.16612439474868226,0.7757008138000331,0.6011384624469629,0.5567134103098391,0.6011384624469629,0.7757008138000331,0.16612439474868226,0.37952357342902376
spring wheat,base,gblup_gxe,16,200,0.4006632561316017,0.3708766849098762,0.18997446169815846,0.7918086469991522,0.6194634131164243,0.5885509073592068,0.6194634131164243,0.7918086469991522,0.18997446169815846,0.4006632561316017
spring wheat,base,gbm,16,200,0.44441891658548877,0.4008923354984135,-0.06595403816126726,0.8664037796871971,0.6466920701194041,0.5868415044409112,0.6466920701194041,0.8664037796871971,-0.06595403816126726,0.44441891658548877
spring wheat,base,knn10,16,200,0.37071036015239006,0.3401120730722598,0.15428007119254597,0.7725148804090092,0.5954730549507784,0.5504169917993058,0.5954730549507784,0.7725148804090092,0.15428007119254597,0.37071036015239006
spring wheat,base,knn30,16,200,0.14214484292889243,0.10043289233077288,-0.1528955133298781,0.6898895665192789,0.4485440343992764,0.38712307068982754,0.4485440343992764,0.6898895665192789,-0.1528955133298781,0.14214484292889243
spring wheat,base,markeronly_pc80,16,200,0.3913304912585297,0.3614934637721732,0.18028480547671372,0.7831384536991526,0.6105012796443267,0.5871926274946011,0.6105012796443267,0.7831384536991526,0.18028480547671372,0.3913304912585297
spring wheat,base,mlp,16,200,0.3731061866688361,0.38388666734214916,0.1991899739517112,0.5772153606431839,0.5915172216529347,0.6196003888457532,0.5772153606431839,0.5915172216529347,0.1991899739517112,0.38388666734214916
spring wheat,base,rf,16,200,0.3486009517972512,0.31692762711728667,0.6257712952910238,0.7645224376842683,0.5812604398806878,0.5346213808621101,0.5812604398806878,0.7645224376842683,0.31692762711728667,0.6257712952910238
spring wheat,base,ridge_pc20_hi,16,200,0.3832957623451034,0.3533094220140167,0.17119394482474526,0.7770644415993117,0.6035633427592142,0.5594083729041749,0.6035633427592142,0.7770644415993117,0.17119394482474526,0.3832957623451034
