team,frac,n_env,observed,bench_N,bench_C0,bench_C1,gap_N,se_N,gap_C1,se_C1,margin_effect
KernelOfTruth_sub244906,0.05,23,0.030874747590815165,0.2921216347627757,0.268918282273213,0.2599527394798215,-0.26124688717196043,0.040054115584394506,-0.22907799188900632,0.04113307985866253,-0.008965542793391467
KernelOfTruth_sub244906,0.1,23,0.15499156668157812,0.24871325643551007,0.229661916216314,0.22305628073561184,-0.0937216897539319,0.030154361329737374,-0.06806471405403375,0.027668900818148347,-0.006605635480702147
KernelOfTruth_sub244906,0.2,23,0.11180710920755364,0.1986513149300637,0.1836663117889399,0.17926319769629465,-0.08684420572250999,0.020216567869974132,-0.067456088488741,0.018551312380891093,-0.0044031140926452245
KernelOfTruth_sub244944,0.05,23,-0.15358423565956503,0.20091725041694322,0.22025921197435996,0.2147143644798046,-0.3545014860765083,0.042212669990987765,-0.3682986001393696,0.04517876498326225,-0.005544847494555363
KernelOfTruth_sub244944,0.1,23,-0.06782443309819848,0.17117191648583893,0.188329988532345,0.18355541235568623,-0.23899634958403732,0.028791726668307347,-0.25137984545388475,0.030568382466788457,-0.004774576176658809
KernelOfTruth_sub244944,0.2,23,0.012301214889270544,0.13666874863874973,0.15028798478370334,0.1472090216146998,-0.12436753374947919,0.01934239742750584,-0.1349078067254292,0.01967347546812902,-0.0030789631690035873
KernelOfTruth_sub244953,0.05,23,0.1287294940691546,0.2679559311068735,0.26654265641834346,0.25840087683025553,-0.13922643703771884,0.0420303531869168,-0.12967138276110093,0.04429001691269605,-0.008141779588087953
KernelOfTruth_sub244953,0.1,23,0.1189747969679346,0.22812789170256514,0.2271629552962563,0.2207038964749859,-0.10915309473463053,0.026463708693474287,-0.10172909950705127,0.024215774596800643,-0.006459058821270481
KernelOfTruth_sub244953,0.2,23,0.12877944249257037,0.18221608575091333,0.18135326870956311,0.1771935538865551,-0.053436643258343,0.02147662661005777,-0.04841411139398475,0.019556448833271508,-0.004159714823007983
EnBiSys_sub243568,0.05,23,-0.028800231757425993,0.44792029473982653,0.17175687875769902,0.16539080042061396,-0.47672052649725244,0.04541176538633319,-0.19419103217803999,0.0362850156572132,-0.006366078337085027
EnBiSys_sub243568,0.1,23,0.07338628125877233,0.38161772437519537,0.1457913016907993,0.14158489070939395,-0.30823144311642303,0.035305487293501824,-0.06819860945062159,0.025238523915089513,-0.00420641098140536
EnBiSys_sub243568,0.2,23,0.03796159390356272,0.30475432987261586,0.11613768928137878,0.1135246516484679,-0.26679273596905323,0.030775374639430288,-0.0755630577449052,0.014906628900702832,-0.002613037632910864
NicheSquad_sub244985,0.05,21,-0.06162245538340321,0.2398441277156822,0.1666983803453437,0.1615266829561785,-0.30146658309908536,0.042189402696418285,-0.22314913833958167,0.04260329787077347,-0.005171697389165249
NicheSquad_sub244985,0.1,21,0.033231258948198304,0.20430152530284532,0.14230423670396689,0.13829710826562913,-0.171070266354647,0.02919674411017555,-0.10506584931743082,0.03536982972765087,-0.004007128438337742
NicheSquad_sub244985,0.2,21,0.05356661842076577,0.16316343924798743,0.1137251577685779,0.11058554458145749,-0.10959682082722168,0.022103387049780966,-0.05701892616069173,0.016747361704970872,-0.0031396131871204093
