team,frac,n_env,mean_observed,gap,se,t,p_two_sided
KernelOfTruth_sub244906,0.05,23,0.030874747590815165,-0.262669639831377,0.04010749875507396,-6.549140384830078,1.3786034758284417e-06
KernelOfTruth_sub244906,0.1,23,0.15499156668157812,-0.094522308635891,0.03019749859778701,-3.130137032039401,0.004869247526718362
KernelOfTruth_sub244906,0.2,23,0.11180710920755364,-0.08730810486969927,0.020229349065760488,-4.315912716018827,0.0002788908420338301
KernelOfTruth_sub244944,0.05,23,-0.15358423565956503,-0.3554958543814952,0.042216498388827024,-8.420780215054037,2.494602650794923e-08
KernelOfTruth_sub244944,0.1,23,-0.06782443309819848,-0.2395454179362586,0.02879937952526003,-8.317728433216853,3.073787813433497e-08
KernelOfTruth_sub244944,0.2,23,0.012301214889270544,-0.12469176119498841,0.019344393395708516,-6.44588634258497,1.7432000057974676e-06
KernelOfTruth_sub244953,0.05,23,0.1287294940691546,-0.1405338150336034,0.04203523262472975,-3.343238665721715,0.002943663529076938
KernelOfTruth_sub244953,0.1,23,0.1189747969679346,-0.10988319306999102,0.026483595580820515,-4.149104026855352,0.00041920148244274923
KernelOfTruth_sub244953,0.2,23,0.12877944249257037,-0.05383050405634116,0.021493813671640282,-2.504464999962621,0.020169448003507565
EnBiSys_sub243568,0.05,23,-0.028800231757425993,-0.4789969706618237,0.04555296215476648,-10.515166259318733,4.802444836740205e-10
EnBiSys_sub243568,0.1,23,0.07338628125877233,-0.3094766603128367,0.03537079133803835,-8.749497780673632,1.293688392928301e-08
EnBiSys_sub243568,0.2,23,0.03796159390356272,-0.2675124671202559,0.030828319963652664,-8.677490938061483,1.4920103924164625e-08
NicheSquad_sub244985,0.05,21,-0.06162245538340321,-0.3026747379708318,0.0422269493819791,-7.167809713954902,6.090891254382443e-07
NicheSquad_sub244985,0.1,21,0.033231258948198304,-0.17177621751708147,0.0292008364702453,-5.882578661474846,9.380906456898528e-06
NicheSquad_sub244985,0.2,21,0.05356661842076577,-0.1099930363877922,0.022141986222197735,-4.96762283581959,7.404338584727883e-05
