Env,k,y,p,method
PH_LosB_2019D,3658769,6.5283,6.463088506164846,ridge_pc5_lo
PH_LosB_2019D,3806774,6.6024,6.632165155891997,ridge_pc5_lo
PH_LosB_2019D,3806855,6.1428,6.384724599884606,ridge_pc5_lo
PH_LosB_2019D,4016512,5.9245,6.374128974475456,ridge_pc5_lo
PH_LosB_2019D,4016513,5.3275,6.560771037202537,ridge_pc5_lo
PH_LosB_2019D,4189053,6.3808,6.463088506164846,ridge_pc5_lo
PH_LosB_2019D,4193103,6.6353,6.4891817746534635,ridge_pc5_lo
PH_LosB_2019D,4214820,6.3554,6.468559002924093,ridge_pc5_lo
PH_LosB_2019D,4220423,4.7167,6.545055099156184,ridge_pc5_lo
PH_LosB_2019D,4226523,5.4398,6.597318007637042,ridge_pc5_lo
PH_LosB_2019D,4228927,7.2075,6.369534339023292,ridge_pc5_lo
PH_LosB_2019D,4228929,6.4698,6.462735450411807,ridge_pc5_lo
PH_LosB_2019D,4229118,6.4494,6.410876213486199,ridge_pc5_lo
PH_LosB_2019D,4229178,6.5701,6.350663809908982,ridge_pc5_lo
PH_LosB_2019D,4535979,6.1602,6.522316024937886,ridge_pc5_lo
PH_LosB_2019D,4609623,6.1244,6.439544855421374,ridge_pc5_lo
PH_LosB_2019D,4609631,6.578,6.446944352636038,ridge_pc5_lo
PH_LosB_2019D,4789033,7.3996,6.6274770806289665,ridge_pc5_lo
PH_LosB_2019D,4789041,6.8947,6.617240187279716,ridge_pc5_lo
PH_LosB_2019D,4789051,7.5286,6.593635552921848,ridge_pc5_lo
PH_LosB_2019D,4789056,6.7151,6.646488737928157,ridge_pc5_lo
PH_LosB_2019D,4789719,6.5469,6.648221072087056,ridge_pc5_lo
PH_LosB_2019D,4789765,7.2742,6.595304446027936,ridge_pc5_lo
PH_LosB_2019D,4789819,6.3699,6.607368681765315,ridge_pc5_lo
PH_LosB_2019D,4815752,6.5822,6.460273904395053,ridge_pc5_lo
PH_LosB_2019D,4815880,6.7232,6.469133152508457,ridge_pc5_lo
KE_Aher_2019D,1253957,4.3133,4.880083346115126,ridge_pc5_lo
KE_Aher_2019D,1384968,5.0935,4.819211687393508,ridge_pc5_lo
KE_Aher_2019D,1401800,5.1442,4.979206260879371,ridge_pc5_lo
KE_Aher_2019D,2337754,5.1144,4.9789168653546385,ridge_pc5_lo
KE_Aher_2019D,2451001,4.7637,4.8886516405327285,ridge_pc5_lo
KE_Aher_2019D,3173051,4.7226,4.827381830274428,ridge_pc5_lo
KE_Aher_2019D,2642849,5.1085,4.784851519033331,ridge_pc5_lo
KE_Aher_2019D,2696701,5.4451,4.928076962887229,ridge_pc5_lo
KE_Aher_2019D,2697338,4.8269,4.853077164656109,ridge_pc5_lo
KE_Aher_2019D,2697419,5.2446,4.773477255010242,ridge_pc5_lo
KE_Aher_2019D,2697451,4.8435,4.965517914418328,ridge_pc5_lo
KE_Aher_2019D,2697797,3.9961,4.785817645235283,ridge_pc5_lo
KE_Aher_2019D,2858722,5.08,4.84863128432904,ridge_pc5_lo
KE_Aher_2019D,2971736,4.6111,4.826977119576104,ridge_pc5_lo
KE_Aher_2019D,2972293,5.3587,4.735391327835839,ridge_pc5_lo
KE_Aher_2019D,2972309,4.4785,4.873083654750657,ridge_pc5_lo
KE_Aher_2019D,2972722,4.8796,4.824783606880472,ridge_pc5_lo
KE_Aher_2019D,2972796,4.4253,4.781513917191543,ridge_pc5_lo
KE_Aher_2019D,300034581,4.3537,4.78865148481501,ridge_pc5_lo
KE_Aher_2019D,300035917,4.9696,4.691403469469632,ridge_pc5_lo
KE_Aher_2019D,300038124,4.8199,4.824667058115052,ridge_pc5_lo
KE_Aher_2019D,300038265,4.9196,4.867678546717928,ridge_pc5_lo
KE_Aher_2019D,300038266,5.2202,4.828791302402051,ridge_pc5_lo
KE_Aher_2019D,300038744,4.8623,4.705685013209711,ridge_pc5_lo
KE_Aher_2019D,300039577,4.3369,4.733616037303889,ridge_pc5_lo
KE_Aher_2019D,300040799,5.245,4.771329791969097,ridge_pc5_lo
KE_Aher_2019D,300080634,5.1386,4.815059610230552,ridge_pc5_lo
KE_Aher_2019D,300166640,5.2481,4.806203556231504,ridge_pc5_lo
KE_Aher_2019D,300166641,4.7948,4.786216897302322,ridge_pc5_lo
KE_Aher_2019D,300172737,4.9649,4.847860252637422,ridge_pc5_lo
KE_Aher_2019D,300173154,4.777,4.836462935531428,ridge_pc5_lo
KE_Aher_2019D,300174086,4.6843,4.779123431624624,ridge_pc5_lo
KE_Aher_2019D,300174380,4.4409,4.8161831493534075,ridge_pc5_lo
KE_Aher_2019D,300252036,4.3544,4.816937584462937,ridge_pc5_lo
KE_Aher_2019D,300258387,4.9207,4.849180424906064,ridge_pc5_lo
KE_Aher_2019D,300266828,4.842,4.695429768717339,ridge_pc5_lo
KE_Aher_2019D,300266831,4.8293,4.852830504851838,ridge_pc5_lo
KE_Aher_2019D,300266832,5.144,4.8473017154805484,ridge_pc5_lo
KE_Aher_2019D,300266835,5.1034,4.868850739993916,ridge_pc5_lo
KE_Aher_2019D,300266839,5.0046,4.952845512909645,ridge_pc5_lo
KE_Aher_2019D,300266846,4.7477,4.747253990835414,ridge_pc5_lo
KE_Aher_2019D,300266848,4.5594,4.664603372323053,ridge_pc5_lo
KE_Aher_2019D,300287234,5.0625,4.747710325101857,ridge_pc5_lo
KE_Aher_2019D,300293456,4.9959,4.847538020207128,ridge_pc5_lo
KE_Aher_2019D,300293539,4.4253,4.752813049683479,ridge_pc5_lo
KE_Aher_2019D,300293562,4.8542,4.781892309191611,ridge_pc5_lo
KE_Aher_2019D,300294018,4.9162,4.744644564434294,ridge_pc5_lo
KE_Aher_2019D,300294074,5.0744,4.812717199741833,ridge_pc5_lo
KE_Aher_2019D,300294080,5.1339,4.7417241010143325,ridge_pc5_lo
KE_Aher_2019D,300296708,4.4376,4.840020820040348,ridge_pc5_lo
KE_Aher_2019D,300431704,4.9839,4.81644356167139,ridge_pc5_lo
