Env,k,y,p,method
BRK_00,PI182561,66.0,70.39553622520553,ridge_pc5_lo
BRK_00,PI382161,92.5,69.85394624267543,ridge_pc5_lo
BRK_00,PI382167,72.0,71.11756694567885,ridge_pc5_lo
BRK_00,PI81791,70.5,68.70320492524925,ridge_pc5_lo
BRK_00,MN97039,65.5,68.88066647520647,ridge_pc5_lo
BRK_00,MN97561,62.5,73.46009833159512,ridge_pc5_lo
BRK_00,MN98037,63.5,72.74503431272791,ridge_pc5_lo
BRK_00,MN98092,61.0,75.44737620910996,ridge_pc5_lo
BRK_00,MN98208,80.0,73.55855046686867,ridge_pc5_lo
BRK_00,MN98389,74.0,68.34198178427397,ridge_pc5_lo
BRK_00,2375,71.0,72.8765815616674,ridge_pc5_lo
BRK_00,ND2710,92.5,68.49052142719637,ridge_pc5_lo
BRK_00,BACUP,66.5,75.98280066937403,ridge_pc5_lo
BRK_00,WHEATON,65.0,69.39456844994915,ridge_pc5_lo
BRK_01,PI104131,33.900000000000006,37.57061825078328,ridge_pc5_lo
BRK_01,PI185380,30.5,40.607178256941474,ridge_pc5_lo
BRK_01,PI349478,59.3,39.92725763165888,ridge_pc5_lo
BRK_01,PI382140,48.4,40.31774945584662,ridge_pc5_lo
BRK_01,MN99109,39.4,40.787348986752036,ridge_pc5_lo
BRK_01,MN99112,38.2,39.86635773697419,ridge_pc5_lo
BRK_01,MN99126,44.8,39.10597414536213,ridge_pc5_lo
BRK_01,MN99192,40.5,40.88839380497824,ridge_pc5_lo
BRK_01,MN99322,41.0,45.01289973041516,ridge_pc5_lo
BRK_01,2375,36.0,45.43946066265514,ridge_pc5_lo
BRK_01,ND2710,48.4,39.964632335617544,ridge_pc5_lo
BRK_01,BACUP,45.6,44.247875490931314,ridge_pc5_lo
BRK_01,WHEATON,22.299999999999997,41.95744755093686,ridge_pc5_lo
BRK_02,PI163429,37.5,49.89073039105186,ridge_pc5_lo
BRK_02,PI168727,45.6,48.27430046125292,ridge_pc5_lo
BRK_02,PI345731,46.5,44.068085237425905,ridge_pc5_lo
BRK_02,PI185843,57.5,51.95086154456883,ridge_pc5_lo
BRK_02,PI264940,60.3,49.78984762118397,ridge_pc5_lo
BRK_02,SD3533,46.3,57.624473855711976,ridge_pc5_lo
BRK_02,MN00021,66.0,59.29072171599909,ridge_pc5_lo
BRK_02,MN00173,43.2,51.01798748258022,ridge_pc5_lo
BRK_02,MN00274,58.5,54.87189585145706,ridge_pc5_lo
BRK_02,MN99225,64.2,59.71779027730955,ridge_pc5_lo
BRK_02,MN99408,66.5,52.82227483757136,ridge_pc5_lo
BRK_02,2375,48.2,59.22937903387521,ridge_pc5_lo
BRK_02,ND2710,82.0,51.85889255863145,ridge_pc5_lo
BRK_02,BACUP,59.2,58.58464586766762,ridge_pc5_lo
BRK_02,WHEATON,39.5,55.74736592215694,ridge_pc5_lo
BRK_03,BUCKAUSTRAL,61.8,59.341097009672836,ridge_pc5_lo
BRK_03,KLEINCONDOR,65.2,60.323739559152955,ridge_pc5_lo
BRK_03,ARTEMOWSKA,73.2,61.29005448498725,ridge_pc5_lo
BRK_03,ALBIDUM43,39.5,63.032979917235906,ridge_pc5_lo
BRK_03,SD3746,47.0,63.68251686331969,ridge_pc5_lo
