dataset,subset,n_env,mean_jaccard,separated,within_min,within_max,others_min,methods
soybean (NUST),full,169,0.06590891521479829,False,0.8484848484848485,0.8939393939393939,0.7878787878787878,66
soybean (NUST),connected subset,20,0.39594644518704725,False,0.7575757575757576,0.9545454545454546,0.8939393939393939,66
spring wheat (URSN),full,109,0.15192064402632147,False,0.8076923076923077,0.8653846153846154,0.8653846153846154,52
spring wheat (URSN),connected subset,20,0.38194319530884624,True,0.7692307692307693,0.8461538461538461,0.8653846153846154,52
