Env,H2,r_max,entries,nrep
ARH1_2016,0.5397769214566295,0.7346951214324412,239,2.0251046025104604
ARH1_2018,0.19052339823364106,0.43648986040186666,53,2.1132075471698113
ARH2_2016,0.3299692499799707,0.5744294995732467,197,2.020304568527919
ARH2_2017,0.12025153669795693,0.3467730334065164,185,2.0108108108108107
ARH2_2018,0.6560112456213012,0.8099452114935314,63,2.0952380952380953
COH1_2017,0.7497827278317705,0.8658999525532788,220,4.154545454545454
DEH1_2015,0.7259258884866915,0.8520128452592082,59,2.0508474576271185
DEH1_2016,0.7422183728712357,0.8615209648471914,235,2.0340425531914894
DEH1_2017,0.8685334300065602,0.9319514096810844,176,2.0681818181818183
DEH1_2018,0.7268978446692218,0.8525830426821904,65,2.769230769230769
DEH1_2019,0.32673858644015014,0.5716105198823322,57,2.8596491228070176
DEH1_2020,0.6455922005742822,0.8034875235959064,220,2.709090909090909
DEH1_2021,0.7173080001844141,0.8469403758142683,228,2.530701754385965
GAH1_2014,0.5574153571675196,0.7466025429688272,231,2.0086580086580086
GAH1_2015,0.7352054031422224,0.8574411951511441,176,2.022727272727273
GAH1_2016,0.5703458671808385,0.7552124649268168,239,2.0418410041841004
GAH1_2017,0.6894164599556966,0.8303110621662803,138,2.036231884057971
GAH1_2018,0.7943137588645729,0.8912428170058779,58,2.1206896551724137
GAH1_2019,0.7148136686814768,0.8454665390667313,28,2.142857142857143
GAH1_2020,0.6483040379614137,0.8051732968506927,100,2.0
GAH1_2021,0.7462824233661199,0.8638763935691958,99,2.0
GAH2_2016,0.3732182155872479,0.6109158825789749,53,2.0377358490566038
GAH2_2017,0.4386815410671912,0.6623303866403769,87,2.0919540229885056
GAH2_2018,0.7447329425302334,0.8629791089767083,49,2.142857142857143
GAH2_2019,0.018023502393161226,0.1342516383257993,50,2.96
GAH2_2020,0.6888869155634717,0.8299921177718929,92,2.5869565217391304
GAH2_2021,0.6301685155562897,0.7938315410439987,60,2.5833333333333335
GEH1_2019,0.703978673534255,0.8390343696978421,223,2.1434977578475336
GEH1_2020,0.44456320335606636,0.6667557299011883,91,2.010989010989011
IAH1_2015,0.84624835957468,0.9199175830337629,79,2.088607594936709
IAH1_2016,0.6766880493458279,0.8226105088958127,342,2.134502923976608
IAH1_2017,0.8126523322249387,0.9014723136208559,278,2.172661870503597
IAH1_2018,0.6276785274667939,0.7922616534117967,237,2.080168776371308
IAH1_2019,0.7651954081139539,0.8747544844777613,90,2.0444444444444443
IAH1_2020,0.6204479721052196,0.7876851986074257,157,2.7961783439490446
IAH1_2021,0.6808583823057844,0.8251414316987025,155,2.6258064516129034
IAH1a_2014,0.46829956547146206,0.6843241669497447,356,2.182584269662921
IAH1b_2014,0.48239179782470654,0.6945443094754333,197,2.035532994923858
IAH1c_2014,0.5729769279574879,0.7569523947762421,84,2.6547619047619047
IAH2_2014,0.7533335826941262,0.867947914735744,232,2.0689655172413794
IAH2_2016,0.8497884050121659,0.9218396850928939,397,2.1032745591939546
IAH2_2017,0.6772055262400476,0.8229249821460323,335,2.1134328358208956
IAH2_2018,0.7070600308092405,0.8408686168535727,293,2.0716723549488054
IAH2_2019,0.8017009826150016,0.8953775642794505,351,2.011396011396011
IAH2_2021,0.6661153014769025,0.8161588702433507,213,2.6901408450704225
IAH3_2014,0.821652033053252,0.9064502374941782,226,2.0973451327433628
IAH3_2015,0.8890647949030719,0.9429023252188277,57,2.0701754385964914
IAH3_2016,0.25546671401788223,0.5054371514025084,387,2.1188630490956073
IAH3_2017,0.7461751665151991,0.8638143125204624,324,2.1481481481481484
IAH3_2018,0.7855018116883213,0.8862854008096497,375,2.3386666666666667
IAH3_2019,0.549415829150838,0.7412258961685284,332,2.0120481927710845
IAH3_2021,0.6951504748299575,0.8337568439478967,218,2.6788990825688073
IAH4_2014,0.7748217124209985,0.8802395767181788,228,2.043859649122807
IAH4_2015,0.66521756075374,0.8156087056632856,60,2.066666666666667
IAH4_2016,0.5560993664348963,0.7457207026996745,398,2.1055276381909547
IAH4_2017,0.7465045880726374,0.8640049699351489,348,2.1982758620689653
IAH4_2018,0.6368766502181405,0.7980455188885786,466,2.221030042918455
IAH4_2021,0.6676829345483192,0.8171186783743958,213,2.68075117370892
ILH1_2014,0.7013159761053637,0.8374461034032958,207,2.1449275362318843
ILH1_2015,0.6246045872203763,0.7903192944755786,59,2.0508474576271185
ILH1_2016,0.04916037527587881,0.22172139111028238,128,2.0390625
ILH1_2018,0.893595013497277,0.945301546331792,93,2.053763440860215
ILH1_2019,0.7481227358850816,0.8649408857749075,22,2.1818181818181817
ILH1_2021,0.7942898165956219,0.8912293849484665,119,2.092436974789916
INH1_2014,0.7460239067968106,0.863726754707072,206,2.174757281553398
INH1_2015,0.5890929728339164,0.7675239232974542,61,2.0655737704918034
INH1_2016,0.6935550025813876,0.832799497226906,244,2.0327868852459017
INH1_2017,0.6902265971898925,0.8307987705755784,176,2.0568181818181817
INH1_2018,0.6785172553865098,0.8237215885155067,75,2.12
INH1_2019,0.8538624270758651,0.9240467667146859,20,2.2
INH1_2020,0.5599368604762872,0.7482892892967847,108,2.5185185185185186
INH1_2021,0.831117778416677,0.9116566121170169,116,2.4913793103448274
KSH1_2015,0.23524983466059657,0.48502560206714507,55,2.0727272727272728
KSH1_2016,0.1726799636380733,0.41554778743012616,147,2.1564625850340136
MIH1_2016,0.6980289648316542,0.8354812773675148,232,2.0560344827586206
MIH1_2017,0.4957071220180332,0.7040647143679573,185,2.0486486486486486
MIH1_2018,0.6169452830651602,0.785458645038146,102,2.0588235294117645
